Gamma, Selfish Profit, Selfish Hash Rate, Honest Hash Rate
0.01, 0.0148831, 0.03, 0.985117
0.01, 0.0167807, 0.03, 0.983219
0.01, 0.0177664, 0.03, 0.982234
0.01, 0.0139592, 0.03, 0.986041
0.01, 0.0234376, 0.04, 0.976562
0.01, 0.0285298, 0.04, 0.97147
0.01, 0.0279666, 0.04, 0.972033
0.01, 0.0256706, 0.04, 0.974329
0.01, 0.0241855, 0.04, 0.975815
0.01, 0.0294512, 0.04, 0.970549
0.01, 0.0226282, 0.04, 0.977372
0.01, 0.0249468, 0.04, 0.975053
0.01, 0.0223286, 0.04, 0.977671
0.01, 0.0205944, 0.04, 0.979406
0.01, 0.0223982, 0.04, 0.977602
0.01, 0.0222537, 0.04, 0.977746
0.01, 0.0226809, 0.04, 0.977319
0.01, 0.0224354, 0.04, 0.977565
0.01, 0.0216358, 0.04, 0.978364
0.01, 0.0225181, 0.04, 0.977482
0.01, 0.0184613, 0.04, 0.981539
0.01, 0.0246474, 0.04, 0.975353
0.01, 0.0220645, 0.04, 0.977936
0.01, 0.0209164, 0.04, 0.979084
0.01, 0.0225968, 0.04, 0.977403
0.01, 0.0208493, 0.04, 0.979151
0.01, 0.0206429, 0.04, 0.979357
0.01, 0.0267829, 0.04, 0.973217
0.01, 0.024154, 0.04, 0.975846
0.01, 0.0233372, 0.04, 0.976663
0.01, 0.0254533, 0.04, 0.974547
0.01, 0.0218854, 0.04, 0.978115
0.01, 0.0271163, 0.04, 0.972884
0.01, 0.0212793, 0.04, 0.978721
0.01, 0.0245273, 0.04, 0.975473
0.01, 0.0273903, 0.04, 0.97261
0.01, 0.0251149, 0.04, 0.974885
0.01, 0.0253345, 0.04, 0.974666
0.01, 0.0210559, 0.04, 0.978944
0.01, 0.0257605, 0.04, 0.97424
0.01, 0.0260221, 0.04, 0.973978
0.01, 0.0190408, 0.04, 0.980959
0.01, 0.0235963, 0.04, 0.976404
0.01, 0.0247205, 0.04, 0.975279
0.01, 0.0230819, 0.04, 0.976918
0.01, 0.0241771, 0.04, 0.975823
0.01, 0.0222003, 0.04, 0.9778
0.01, 0.0253847, 0.04, 0.974615
0.01, 0.0223138, 0.04, 0.977686
0.01, 0.0256782, 0.04, 0.974322
0.01, 0.0265131, 0.04, 0.973487
0.01, 0.0225454, 0.04, 0.977455
0.01, 0.0235235, 0.04, 0.976476
