Gamma, Publish N Profit, Publish N Hash Rate, Honest Hash Rate
0, 0.00236987, 0.025, 0.99763
0, 0.00300592, 0.025, 0.996994
0, 0.00377377, 0.025, 0.996226
0, 0.00224274, 0.025, 0.997757
0, 0.002551, 0.025, 0.997449
0, 0.0027225, 0.025, 0.997278
0, 0.00245014, 0.025, 0.99755
0, 0.00410147, 0.025, 0.995899
0, 0.00296536, 0.025, 0.997035
0, 0.00258275, 0.025, 0.997417
0, 0.0038603, 0.025, 0.99614
0, 0.00214456, 0.025, 0.997855
0, 0.00211387, 0.025, 0.997886
0, 0.00318114, 0.025, 0.996819
0, 0.00392975, 0.025, 0.99607
0, 0.00292844, 0.025, 0.997072
0, 0.00264161, 0.025, 0.997358
0, 0.00279369, 0.025, 0.997206
0, 0.00453813, 0.025, 0.995462
0, 0.00263062, 0.025, 0.997369
0, 0.00263448, 0.025, 0.997366
0, 0.0024195, 0.025, 0.997581
0, 0.00405337, 0.025, 0.995947
0, 0.00311383, 0.025, 0.996886
0, 0.00520361, 0.025, 0.994796
0, 0.00265954, 0.025, 0.99734
0, 0.00337115, 0.025, 0.996629
0, 0.00365964, 0.025, 0.99634
0, 0.0027539, 0.025, 0.997246
0, 0.00239273, 0.025, 0.997607
0, 0.00318299, 0.025, 0.996817
0, 0.00278375, 0.025, 0.997216
0, 0.00306898, 0.025, 0.996931
0, 0.00242529, 0.025, 0.997575
0, 0.0038099, 0.025, 0.99619
0, 0.00350378, 0.025, 0.996496
0, 0.00224163, 0.025, 0.997758
0, 0.00270924, 0.025, 0.997291
0, 0.00260599, 0.025, 0.997394
0, 0.00235304, 0.025, 0.997647
0, 0.00282938, 0.025, 0.997171
0, 0.00279322, 0.025, 0.997207
0, 0.00342595, 0.025, 0.996574
0, 0.00281196, 0.025, 0.997188
0, 0.00290106, 0.025, 0.997099
0, 0.00284246, 0.025, 0.997158
0, 0.00267535, 0.025, 0.997325
0, 0.00326679, 0.025, 0.996733
0, 0.0035515, 0.025, 0.996449
0, 0.00276379, 0.025, 0.997236
0, 0.00349007, 0.025, 0.99651
0, 0.00203562, 0.025, 0.997964
0, 0.00316142, 0.025, 0.996839
0, 0.0024238, 0.025, 0.997576
0, 0.00302262, 0.025, 0.996977
0, 0.00243199, 0.025, 0.997568
0, 0.00284716, 0.025, 0.997153
0, 0.00307381, 0.025, 0.996926
0, 0.00340619, 0.025, 0.996594
0, 0.00283979, 0.025, 0.99716
0, 0.00333139, 0.025, 0.996669
0, 0.00360116, 0.025, 0.996399
0, 0.00324112, 0.025, 0.996759
0, 0.00417824, 0.025, 0.995822
0, 0.00316522, 0.025, 0.996835
0, 0.00423767, 0.025, 0.995762
0, 0.00402597, 0.025, 0.995974
0, 0.00279543, 0.025, 0.997205
0, 0.00209444, 0.025, 0.997906
0, 0.00226913, 0.025, 0.997731
0, 0.00335185, 0.025, 0.996648
0, 0.00355306, 0.025, 0.996447
0, 0.00236511, 0.025, 0.997635
0, 0.005216, 0.03, 0.994784
0, 0.00351164, 0.03, 0.996488
0, 0.00345338, 0.03, 0.996547
0, 0.0058708, 0.03, 0.994129
0, 0.00323357, 0.03, 0.996766
0, 0.00407154, 0.03, 0.995928
0, 0.00362336, 0.03, 0.996377
0, 0.00355146, 0.03, 0.996449
0, 0.00377174, 0.03, 0.996228
0, 0.00335272, 0.03, 0.996647
0, 0.00369683, 0.03, 0.996303
0, 0.00401183, 0.03, 0.995988
0, 0.00526884, 0.03, 0.994731
0, 0.00407296, 0.03, 0.995927
0, 0.00353837, 0.03, 0.996462
0, 0.00437104, 0.03, 0.995629
0, 0.00266752, 0.03, 0.997332
0, 0.00599223, 0.03, 0.994008
0, 0.00485566, 0.03, 0.995144
0, 0.00313018, 0.03, 0.99687
0, 0.00384833, 0.03, 0.996152
0, 0.00433069, 0.03, 0.995669
0, 0.00431722, 0.03, 0.995683
0, 0.00386959, 0.03, 0.99613
0, 0.00335953, 0.03, 0.99664
0, 0.00319242, 0.03, 0.996808
0, 0.00598966, 0.03, 0.99401
0, 0.00419049, 0.03, 0.99581
0, 0.00314832, 0.03, 0.996852
0, 0.00356845, 0.03, 0.996432
0, 0.00398496, 0.03, 0.996015
0, 0.00378341, 0.03, 0.996217
0, 0.00550309, 0.03, 0.994497
0, 0.00441509, 0.03, 0.995585
0, 0.00504017, 0.03, 0.99496
0, 0.00439146, 0.03, 0.995609
0, 0.00202424, 0.03, 0.997976
0, 0.00412266, 0.03, 0.995877
0, 0.00457797, 0.03, 0.995422
0, 0.00583016, 0.03, 0.99417
0, 0.00242052, 0.03, 0.997579
0, 0.00423529, 0.03, 0.995765
0, 0.00465015, 0.03, 0.99535
0, 0.00536956, 0.03, 0.99463
0, 0.00503982, 0.03, 0.99496
0, 0.00403553, 0.03, 0.995964
0, 0.00409753, 0.03, 0.995902
0, 0.00359552, 0.03, 0.996404
0, 0.00478252, 0.03, 0.995217
0, 0.00497241, 0.03, 0.995028
0, 0.00430678, 0.03, 0.995693
0, 0.00222722, 0.03, 0.997773
0, 0.00368217, 0.03, 0.996318
0, 0.00492623, 0.03, 0.995074
0, 0.00585717, 0.03, 0.994143
0, 0.00435544, 0.03, 0.995645
0, 0.00321552, 0.03, 0.996784
0, 0.00441887, 0.03, 0.995581
0, 0.00456669, 0.03, 0.995433
0, 0.0043442, 0.03, 0.995656
0, 0.00372799, 0.03, 0.996272
0, 0.00397748, 0.03, 0.996023
0, 0.0031245, 0.03, 0.996875
0, 0.00460909, 0.03, 0.995391
0, 0.00447251, 0.03, 0.995527
0, 0.00486609, 0.03, 0.995134
0, 0.00450011, 0.03, 0.9955
0, 0.00400069, 0.03, 0.995999
0, 0.00301608, 0.03, 0.996984
0, 0.0035024, 0.03, 0.996498
0, 0.00485085, 0.03, 0.995149
0, 0.00420985, 0.03, 0.99579
0, 0.00505378, 0.03, 0.994946
0, 0.00515896, 0.03, 0.994841
0, 0.0036676, 0.03, 0.996332
0, 0.00286779, 0.03, 0.997132
0, 0.00276292, 0.03, 0.997237
0, 0.00563139, 0.03, 0.994369
0, 0.00586843, 0.03, 0.994132
0, 0.0039564, 0.03, 0.996044
0, 0.00578693, 0.03, 0.994213
0, 0.00487645, 0.03, 0.995124
0, 0.00423025, 0.03, 0.99577
0, 0.00339371, 0.03, 0.996606
0, 0.00359448, 0.03, 0.996406
0, 0.00426548, 0.03, 0.995735
0, 0.00507765, 0.03, 0.994922
0, 0.00305835, 0.03, 0.996942
0, 0.00464878, 0.03, 0.995351
0, 0.00343483, 0.03, 0.996565
0, 0.00407047, 0.03, 0.99593
0, 0.00384662, 0.03, 0.996153
0, 0.00269808, 0.03, 0.997302
0, 0.00335565, 0.03, 0.996644
0, 0.00492441, 0.03, 0.995076
0, 0.00458679, 0.03, 0.995413
0, 0.00482249, 0.03, 0.995178
0, 0.00469785, 0.03, 0.995302
0, 0.0041869, 0.03, 0.995813
0, 0.00319725, 0.03, 0.996803
0, 0.00540173, 0.035, 0.994598
0, 0.00439163, 0.035, 0.995608
0, 0.00622331, 0.035, 0.993777
0, 0.0049336, 0.035, 0.995066
0, 0.00648609, 0.035, 0.993514
0, 0.00821966, 0.035, 0.99178
0, 0.00630934, 0.035, 0.993691
0, 0.00640013, 0.035, 0.9936
0, 0.00478462, 0.035, 0.995215
0, 0.00497688, 0.035, 0.995023
0, 0.00651053, 0.035, 0.993489
0, 0.00552574, 0.035, 0.994474
0, 0.0054315, 0.035, 0.994569
0, 0.00647381, 0.035, 0.993526
0, 0.00663654, 0.035, 0.993363
0, 0.0057581, 0.035, 0.994242
0, 0.00600451, 0.035, 0.993995
0, 0.0051327, 0.035, 0.994867
0, 0.00607295, 0.035, 0.993927
0, 0.00506519, 0.035, 0.994935
0, 0.00598586, 0.035, 0.994014
0, 0.00409551, 0.035, 0.995904
0, 0.00649581, 0.035, 0.993504
0, 0.0071063, 0.035, 0.992894
0, 0.00309637, 0.035, 0.996904
0, 0.00651404, 0.035, 0.993486
0, 0.00514238, 0.035, 0.994858
0, 0.00469468, 0.035, 0.995305
0, 0.00644511, 0.035, 0.993555
0, 0.00438286, 0.035, 0.995617
0, 0.00610999, 0.035, 0.99389
0, 0.00656024, 0.035, 0.99344
0, 0.00671168, 0.035, 0.993288
0, 0.0057526, 0.035, 0.994247
0, 0.00491362, 0.035, 0.995086
0, 0.0057893, 0.035, 0.994211
0, 0.00681294, 0.035, 0.993187
0, 0.00519982, 0.035, 0.9948
0, 0.00396032, 0.035, 0.99604
0, 0.00662019, 0.035, 0.99338
0, 0.00525356, 0.035, 0.994746
0, 0.00562356, 0.035, 0.994376
0, 0.00684643, 0.035, 0.993154
0, 0.00455509, 0.035, 0.995445
0, 0.00535226, 0.035, 0.994648
0, 0.00598754, 0.035, 0.994012
0, 0.00676424, 0.035, 0.993236
0, 0.00571316, 0.035, 0.994287
0, 0.00602089, 0.035, 0.993979
0, 0.00390914, 0.035, 0.996091
0, 0.0068398, 0.035, 0.99316
0, 0.00616078, 0.035, 0.993839
0, 0.00783744, 0.035, 0.992163
0, 0.00637938, 0.035, 0.993621
0, 0.00574345, 0.035, 0.994257
0, 0.00529167, 0.035, 0.994708
0, 0.00409496, 0.035, 0.995905
0, 0.00450365, 0.035, 0.995496
0, 0.00474883, 0.035, 0.995251
0, 0.00664401, 0.035, 0.993356
0, 0.00564803, 0.035, 0.994352
0, 0.00506424, 0.035, 0.994936
0, 0.00367971, 0.035, 0.99632
0, 0.00538665, 0.035, 0.994613
0, 0.00689829, 0.035, 0.993102
0, 0.00599066, 0.035, 0.994009
0, 0.00539572, 0.035, 0.994604
0, 0.00492829, 0.035, 0.995072
0, 0.00561032, 0.035, 0.99439
0, 0.00540834, 0.035, 0.994592
0, 0.00459314, 0.035, 0.995407
0, 0.00567306, 0.035, 0.994327
0, 0.00474125, 0.035, 0.995259
