Gamma, Stubborn Fork Profit, Stubborn Lead Trail Hash Rate, Honest Profit
0, 0.00388764, 0.04, 0.996112
0, 0.00307311, 0.04, 0.996927
0, 0.00434252, 0.04, 0.995657
0, 0.00474925, 0.04, 0.995251
0, 0.00498116, 0.04, 0.995019
0, 0.00403508, 0.04, 0.995965
0, 0.0043817, 0.04, 0.995618
0, 0.00472436, 0.04, 0.995276
0, 0.00435711, 0.04, 0.995643
0, 0.00634376, 0.04, 0.993656
0, 0.00497548, 0.04, 0.995025
0, 0.00565841, 0.04, 0.994342
0, 0.00444021, 0.04, 0.99556
0, 0.00362567, 0.04, 0.996374
0, 0.00509018, 0.04, 0.99491
0, 0.00421359, 0.04, 0.995786
0, 0.00542478, 0.04, 0.994575
0, 0.00678928, 0.04, 0.993211
0, 0.00573712, 0.04, 0.994263
0, 0.00382094, 0.04, 0.996179
0, 0.00602548, 0.04, 0.993975
0, 0.00353302, 0.04, 0.996467
0, 0.00580365, 0.04, 0.994196
0, 0.0027555, 0.04, 0.997244
0, 0.00234827, 0.04, 0.997652
0, 0.00449073, 0.04, 0.995509
0, 0.00337551, 0.04, 0.996624
0, 0.00447837, 0.04, 0.995522
0, 0.00441012, 0.04, 0.99559
0, 0.00245163, 0.04, 0.997548
0, 0.00351127, 0.04, 0.996489
0, 0.004157, 0.04, 0.995843
0, 0.00665765, 0.04, 0.993342
0, 0.00463811, 0.04, 0.995362
0, 0.00608784, 0.04, 0.993912
0, 0.00508251, 0.04, 0.994917
0, 0.00513842, 0.04, 0.994862
0, 0.0043871, 0.04, 0.995613
0, 0.00647988, 0.05, 0.99352
0, 0.00793507, 0.05, 0.992065
0, 0.00611841, 0.05, 0.993882
0, 0.00677775, 0.05, 0.993222
0, 0.00825574, 0.05, 0.991744
0, 0.00820024, 0.05, 0.9918
0, 0.00662032, 0.05, 0.99338
0, 0.00662322, 0.05, 0.993377
0, 0.00830427, 0.05, 0.991696
0, 0.00550381, 0.05, 0.994496
0, 0.00626137, 0.05, 0.993739
0, 0.00911074, 0.05, 0.990889
0, 0.00835845, 0.05, 0.991642
0, 0.00630752, 0.05, 0.993692
0, 0.00896843, 0.05, 0.991032
0, 0.00521751, 0.05, 0.994782
0, 0.01042, 0.05, 0.98958
0, 0.00703126, 0.05, 0.992969
0, 0.00626754, 0.05, 0.993732
0, 0.00763303, 0.05, 0.992367
0, 0.00568473, 0.05, 0.994315
0, 0.00774203, 0.05, 0.992258
0, 0.00501993, 0.05, 0.99498
0, 0.00769503, 0.05, 0.992305
0, 0.00699654, 0.05, 0.993003
0, 0.00737291, 0.05, 0.992627
