Gamma,HashRate,Honest,Selfish,Stubborn-Lead,Rotation,BestPure,WorstPure,AvgPure,RotationVsBest,RotationVsWorst,RotationVsAvg,Category,HashRateRange
0.9,0.17,0.16969932,0.18301852,0.18842040000000002,0.18255916,0.18842040000000002,0.16969932,0.18037941333333332,-0.0058612400000000175,0.012859840000000011,0.0021797466666666765,MODERATE,15-20%
0.9,0.18,0.18105004000000002,0.19817768000000002,0.20228643999999998,0.19477872000000002,0.20228643999999998,0.18105004000000002,0.19383805333333334,-0.007507719999999968,0.013728679999999993,0.000940666666666673,MODERATE,15-20%
0.9,0.19,0.19142844,0.20895568,0.21822948,0.20526128,0.21822948,0.19142844,0.20620453333333333,-0.012968200000000013,0.013832839999999985,-0.0009432533333333382,MODERATE,15-20%
0.9,0.2,0.19996967999999998,0.22367724,0.2311028,0.21851852000000002,0.2311028,0.19996967999999998,0.21824990666666666,-0.012584279999999975,0.01854884000000004,0.0002686133333333618,MODERATE,15-20%
0.9,0.21,0.210383,0.2342276,0.24620856,0.23097408000000003,0.24620856,0.210383,0.23027305333333334,-0.015234479999999967,0.02059108000000004,0.0007010266666666876,MODERATE,20-25%
0.9,0.22,0.21777059999999998,0.2497438,0.26067503999999997,0.2437562,0.26067503999999997,0.21777059999999998,0.24272981333333332,-0.016918839999999963,0.025985600000000025,0.0010263866666666843,MODERATE,20-25%
0.9,0.23,0.22918148,0.2613804,0.28029596,0.2568396,0.28029596,0.22918148,0.25695261333333336,-0.02345636000000001,0.027658120000000008,-0.00011301333333335606,MODERATE,20-25%
0.9,0.24,0.24127168000000002,0.27620716,0.29389232,0.27113572,0.29389232,0.24127168000000002,0.2704570533333333,-0.02275659999999996,0.02986404000000001,0.0006786666666667163,MODERATE,20-25%
0.9,0.25,0.24991388,0.28982104,0.3093974,0.28491832,0.3093974,0.24991388,0.2830441066666667,-0.024479079999999986,0.03500444,0.0018742133333333189,MODERATE,20-25%
0.9,0.26,0.25865336,0.30644279999999996,0.32637383999999997,0.29858304,0.32637383999999997,0.25865336,0.2971566666666667,-0.02779079999999995,0.03992968000000002,0.0014263733333333417,MODERATE,25-30%
0.9,0.27,0.26847956,0.32014856,0.34471296,0.31159844,0.34471296,0.26847956,0.3111136933333334,-0.033114520000000036,0.04311887999999997,0.00048474666666659116,MODERATE,25-30%
0.9,0.28,0.27974264,0.33273980000000003,0.36311140000000003,0.32794628000000003,0.36311140000000003,0.27974264,0.3251979466666666,-0.035165119999999994,0.04820364000000005,0.002748333333333408,MODERATE,25-30%
0.9,0.29,0.2901092,0.35047207999999996,0.37956224,0.34033272,0.37956224,0.2901092,0.34004784,-0.03922952000000002,0.050223519999999966,0.00028487999999998737,MODERATE,25-30%
0.9,0.3,0.29939836,0.36659884,0.39522979999999996,0.35797668,0.39522979999999996,0.29939836,0.3537423333333333,-0.03725311999999997,0.05857832000000002,0.004234346666666666,MODERATE,25-30%
0.95,0.15,0.15018952,0.162998,0.16798836,0.16176304000000002,0.16798836,0.15018952,0.16039196,-0.006225319999999979,0.011573520000000032,0.0013710800000000245,MODERATE,15-20%
0.95,0.16,0.15908576,0.17754567999999998,0.18115688,0.17342492,0.18115688,0.15908576,0.17259610666666667,-0.007731959999999982,0.014339160000000017,0.0008288133333333447,MODERATE,15-20%
0.95,0.17,0.17032328,0.18760836,0.19326088,0.18532268,0.19326088,0.17032328,0.18373083999999998,-0.007938200000000006,0.014999399999999996,0.001591840000000011,MODERATE,15-20%
0.95,0.18,0.17987892,0.20144496,0.20767872,0.1981344,0.20767872,0.17987892,0.19633420000000001,-0.009544320000000023,0.01825547999999999,0.001800199999999974,MODERATE,15-20%
0.95,0.19,0.1892644,0.21478652,0.22113119999999997,0.20890852,0.22113119999999997,0.1892644,0.20839403999999997,-0.012222679999999986,0.019644119999999987,0.0005144800000000116,MODERATE,15-20%
